ZIP Code,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint,id
94080,South San Francisco,CA,37.652857,-122.4301,-8,1,"37.652857,-122.4301",24
94085,Sunnyvale,CA,37.38894,-122.017956,-8,1,"37.38894,-122.017956",25
94086,Sunnyvale,CA,37.378341,-122.02398,-8,1,"37.378341,-122.02398",25
94087,Sunnyvale,CA,37.350091,-122.03602,-8,1,"37.350091,-122.03602",25
94102,San Francisco,CA,37.779329,-122.41915,-8,1,"37.779329,-122.41915",1120
94104,San Francisco,CA,37.791728,-122.4019,-8,1,"37.791728,-122.4019",1120
94105,San Francisco,CA,37.789228,-122.3957,-8,1,"37.789228,-122.3957",1120
94107,San Francisco,CA,37.766529,-122.39577,-8,1,"37.766529,-122.39577",1120
94108,San Francisco,CA,37.792678,-122.40793,-8,1,"37.792678,-122.40793",1120
94109,San Francisco,CA,37.792778,-122.42188,-8,1,"37.792778,-122.42188",1120
94110,San Francisco,CA,37.74873,-122.41545,-8,1,"37.74873,-122.41545",1120
94111,San Francisco,CA,37.798228,-122.40027,-8,1,"37.798228,-122.40027",1120
94112,San Francisco,CA,37.720931,-122.44241,-8,1,"37.720931,-122.44241",1120
94114,San Francisco,CA,37.758434,-122.43512,-8,1,"37.758434,-122.43512",1120
94115,San Francisco,CA,37.786129,-122.43736,-8,1,"37.786129,-122.43736",1120
94116,San Francisco,CA,37.743381,-122.48578,-8,1,"37.743381,-122.48578",1120
94117,San Francisco,CA,37.770937,-122.44276,-8,1,"37.770937,-122.44276",1120
94118,San Francisco,CA,37.782029,-122.46158,-8,1,"37.782029,-122.46158",1120
94122,San Francisco,CA,37.75838,-122.48478,-8,1,"37.75838,-122.48478",1120
94123,San Francisco,CA,37.801028,-122.43836,-8,1,"37.801028,-122.43836",1120
94124,San Francisco,CA,37.732797,-122.39348,-8,1,"37.732797,-122.39348",1120
94126,San Francisco,CA,37.784827,-122.727802,-8,1,"37.784827,-122.727802",1120
94131,San Francisco,CA,37.741797,-122.4378,-8,1,"37.741797,-122.4378",1120
94132,San Francisco,CA,37.724231,-122.47958,-8,1,"37.724231,-122.47958",1120
94143,San Francisco,CA,37.76313,-122.458582,-8,1,"37.76313,-122.458582",1120
94234,Sacramento,CA,38.377411,-121.444429,-8,1,"38.377411,-121.444429",3119
94301,Palo Alto,CA,37.443688,-122.15071,-8,1,"37.443688,-122.15071",25
94302,Palo Alto,CA,37.189396,-121.705327,-8,1,"37.189396,-121.705327",25
94303,Palo Alto,CA,37.449888,-122.12749,-8,1,"37.449888,-122.12749",25
94304,Palo Alto,CA,37.397823,-122.16605,-8,1,"37.397823,-122.16605",25
94305,Stanford,CA,37.427039,-122.16496,-8,1,"37.427039,-122.16496",25
94306,Palo Alto,CA,37.419389,-122.13273,-8,1,"37.419389,-122.13273",25
94309,Palo Alto,CA,37.189396,-121.705327,-8,1,"37.189396,-121.705327",25
94402,San Mateo,CA,37.551586,-122.32773,-8,1,"37.551586,-122.32773",24
94404,San Mateo,CA,37.554335,-122.27032,-8,1,"37.554335,-122.27032",24
94501,Alameda,CA,37.769528,-122.25937,-8,1,"37.769528,-122.25937",18
94507,Alamo,CA,37.856683,-122.02488,-8,1,"37.856683,-122.02488",1113
